site,n_test,auc,brier,calib_intercept,calib_intercept_lo,calib_intercept_hi,calib_slope,calib_slope_lo,calib_slope_hi,clinically_miscalibrated_intercept,clinically_miscalibrated_slope
0,104,0.8519345238095237,0.1540287083548425,0.031088485432436,-0.479757632565312,0.5415298426729912,0.8875983460968557,0.6325972059272075,1.3114363770606068,False,False
1,89,0.8690476190476192,0.14725796798868646,-0.6732910525183067,-1.3064742736776318,-0.12478436080177199,0.9414907688163183,0.6163314043160845,1.4579163260710337,True,False
2,16,0.9333333333333333,0.2521712925506917,3.3923754349190953,2.5533238435475583,3.5836332152942574,0.8456308700795674,0.6596866839189068,1.4477777664350182,True,False
3,45,0.7342857142857143,0.2813617363484408,1.665517082903397,0.9038155975423424,3.0939935310422517,0.549013662365157,0.0934378791232854,1.2235394834964675,True,True
POOLED,254,0.8082914416930429,0.1803974946314473,0.25952462231744894,-0.02844936304107181,0.5723599506426568,0.7657167588682091,0.5808572595374524,1.0203430693159474,True,True
