alpha,seed,patient_loss,worst_site_loss,patient_auc,worst_site_auc
0.0,0,0.538686000457783,0.7299756619772881,0.8380713774414561,0.7342857142857142
0.0,1,0.5276480822557574,0.7017651310062676,0.8524382605583394,0.7542857142857142
0.0,2,0.5408377323711602,0.738626645586631,0.8400893070184409,0.7114285714285714
0.0,3,0.5376947766691882,0.6937679697229786,0.8358384889388827,0.7571428571428571
0.0,4,0.5458126421440643,0.7337535381709688,0.8392471537648704,0.7314285714285714
0.5,0,0.5445028563110254,0.7875750876409466,0.8388717745509083,0.7257142857142856
0.5,1,0.531978351389235,0.7639004123863947,0.8528396308415994,0.7514285714285714
0.5,2,0.5445454530013535,0.7916640618067893,0.8408509305654974,0.7114285714285714
0.5,3,0.5419618807450997,0.7374133104511704,0.8345872959061935,0.7485714285714286
0.5,4,0.5477164708404479,0.8238945362338842,0.8423030217813681,0.7285714285714285
1.0,0,0.5518000315234548,0.8292105656599904,0.8422150356205473,0.7342857142857143
1.0,1,0.5505855020519321,0.8298512278779956,0.8403004311961005,0.7142857142857143
1.0,2,0.5474332150228377,0.8527422267743359,0.8507428758905138,0.7457142857142857
1.0,3,0.5560531934050978,0.8420526267705047,0.8355466220131574,0.7028571428571428
1.0,4,0.5548622623211888,0.8728949656293472,0.8452027303405256,0.7314285714285713
